contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0000781,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000782,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000783,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000784,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000785,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000786,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000787,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000788,Halomonas;Aequorivita,2,True,False,True,False,up,,up,
D55_vs_D0,OG0000789,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,down
D55_vs_D0,OG0000790,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000792,Psychrobacter;Aequorivita,2,False,True,True,False,,up,up,
D55_vs_D0,OG0000793,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000795,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000796,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000797,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000798,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000799,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000800,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,up,,up,down
D55_vs_D0,OG0000801,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,down
D55_vs_D0,OG0000802,Halomonas;Aequorivita,2,True,False,True,False,up,,down,
D55_vs_D0,OG0000803,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,down
D55_vs_D0,OG0000804,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000805,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000806,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000807,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000808,Psychrobacter;Aequorivita,2,False,True,True,False,,down,down,
D55_vs_D0,OG0000809,Halomonas;Psychrobacter;Aequorivita;Sphingopyxis,4,True,True,True,True,down,down,down,up
D55_vs_D0,OG0000810,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0000811,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000812,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000816,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000817,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000820,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000824,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000825,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000827,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0000828,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000830,Halomonas;Psychrobacter;Aequorivita,3,True,True,True,False,up,up,up,
D55_vs_D0,OG0000831,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,up,up,,up
D55_vs_D0,OG0000833,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000834,Halomonas;Psychrobacter;Aequorivita;Sphingopyxis,4,True,True,True,True,up,down,down,up
D55_vs_D0,OG0000835,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000836,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000839,Sphingopyxis,1,False,False,False,True,,,,up
