orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0000423,Halomonas,D55_vs_D0,-1.04821453586006,0.0008601026927139,rhtC,MULTISPECIES: LysE family translocator,K05834;K11250,,E: Amino acid transport and metabolism,0.0008601026927139,1.04821453586006
OG0000380,Halomonas,D55_vs_B55,-1.16283611913883,0.0008670357081208,ypmQ,SCO family protein,K07152,,S: Function unknown,0.0008670357081208,1.16283611913883
OG0001841,Halomonas,D55_vs_D0,-1.22739199465693,0.000892258029825,phaR,polyhydroxyalkanoate synthesis repressor PhaR,,,S: Function unknown,0.000892258029825,1.22739199465693
OG0001407,Halomonas,D55_vs_B55,1.43684559474567,0.0009010734053711,gene0885,MULTISPECIES: flavodoxin,,,S: Function unknown,0.0009010734053711,1.43684559474567
OG0001653,Aequorivita,D55_vs_D0,-1.49596091413225,0.0009220533343394,feoB,ferrous iron transport protein B,K04759,,P: Inorganic ion transport and metabolism,0.0009220533343394,1.49596091413225
OG0001770,Halomonas,D55_vs_D0,-1.53015994891723,0.0009347291465976,gene0009,hypothetical protein,,,,0.0009347291465976,1.53015994891723
OG0000974,Halomonas,D55_vs_D0,-1.23263469335531,0.000944381787473,leuD,MULTISPECIES: 3-isopropylmalate dehydratase small subunit,K01704,2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;C5-Branched dibasic acid metabolism;Metabolic pathways;Valine;leucine and isoleucine biosynthesis,E: Amino acid transport and metabolism,0.000944381787473,1.23263469335531
OG0000835,Sphingopyxis,D55_vs_D0,1.02400338143896,0.0010463275730582,yaeJ,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,K15034,,J: Translation;ribosomal structure and biogenesis,0.0010463275730582,1.02400338143896
OG0000292,Halomonas,D55_vs_D0,1.68149718109919,0.0010693027117167,ntrY,ATP-binding protein,K07708;K13532;K13598,Two-component system,T: Signal transduction mechanisms,0.0010693027117167,1.68149718109919
OG0001617,Aequorivita,D55_vs_B55,1.18676085890047,0.0010787187402254,gene0928,hypothetical protein,,,,0.0010787187402254,1.18676085890047
OG0000581,Aequorivita,D55_vs_D0,-1.11371786719802,0.0011061620542734,secA,preprotein translocase subunit SecA,K03070,Bacterial secretion system;Protein export;Quorum sensing,U: Intracellular trafficking;secretion;and vesicular transport,0.0011061620542734,1.11371786719802
OG0001930,Psychrobacter,D55_vs_B55,1.23650862295706,0.0011316202496242,nirD,nitrite reductase small subunit NirD,K00363,Metabolic pathways;Microbial metabolism in diverse environments;Nitrogen cycle;Nitrogen metabolism,P: Inorganic ion transport and metabolism,0.0011316202496242,1.23650862295706
OG0000183,Halomonas,D55_vs_B55,1.18858981011698,0.0011651208137954,bcd,acyl-CoA dehydrogenase family protein,K28556,Benzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments,I: Lipid transport and metabolism,0.0011651208137954,1.18858981011698
OG0001397,Halomonas,D55_vs_B55,-1.30113495681274,0.0011709627570686,ybeY,rRNA maturation RNase YbeY,K07042,,J: Translation;ribosomal structure and biogenesis,0.0011709627570686,1.30113495681274
OG0000193,Sphingopyxis,D55_vs_D0,1.18289628215169,0.0012401027081698,gene3689,MULTISPECIES: DUF2274 domain-containing protein,,,G: Carbohydrate transport and metabolism;S: Function unknown,0.0012401027081698,1.18289628215169
OG0000308,Aequorivita,D55_vs_D0,-1.07096091568204,0.0013462261644679,copA,MULTISPECIES: DUF305 domain-containing protein,K08995,,S: Function unknown,0.0013462261644679,1.07096091568204
OG0000529,Sphingopyxis,D55_vs_D0,1.0348049885967,0.0013701530649646,fecA,TonB-dependent receptor,K02014;K16091,,P: Inorganic ion transport and metabolism,0.0013701530649646,1.05651257588353
OG0002136,Halomonas,D55_vs_D0,-1.03944228849171,0.0014017280717493,patB,MULTISPECIES: PatB family C-S lyase,K14155,Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Metabolic pathways;Selenocompound metabolism,E: Amino acid transport and metabolism,0.0014017280717493,1.03944228849171
OG0001534,Aequorivita,D55_vs_D0,-1.60762809314211,0.0014996733748454,dcm,DNA cytosine methyltransferase,K00558;K07458,Cysteine and methionine metabolism;Metabolic pathways;MicroRNAs in cancer,L: Replication;recombination and repair;H: Coenzyme transport and metabolism,0.0014996733748454,1.60762809314211
OG0001043,Aequorivita,D55_vs_D0,-1.37412785123644,0.0015761625098214,gene2141,DUF305 domain-containing protein,,,S: Function unknown,0.0015761625098214,1.37412785123644
OG0001058,Aequorivita,D55_vs_B55,1.03607273803597,0.0015842537139394,rbn,YihY family inner membrane protein,K07058,,S: Function unknown,0.0015842537139394,1.03607273803597
OG0001645,Aequorivita,D55_vs_D0,-1.59890134497794,0.0015989347196428,rssB,DNA-binding response regulator,K02477,,K: Transcription;T: Signal transduction mechanisms,0.0015989347196428,1.59890134497794
OG0001145,Psychrobacter,D55_vs_D0,1.25247330490378,0.0016349352947643,besA,alpha/beta hydrolase-fold protein,,,S: Function unknown;N: Cell motility;U: Intracellular trafficking;secretion;and vesicular transport,0.0016349352947643,1.25247330490378
